"","x"
"482",1
"483",0
"484",0
"485",0
"486",1
"487",1
"488",1
"489",1
"490",1
"491",0
"492",1
"493",0
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",0
"502",1
"503",1
"504",1
"505",1
"506",0
"507",0
"508",1
"509",1
"510",0
"511",1
"512",1
"513",1
"514",1
"515",1
"516",0
"517",1
"518",1
"519",0
"520",1
"521",1
"522",1
"523",1
"524",0
"525",0
"526",1
"527",1
"528",1
"529",0
"530",1
"531",0
"532",1
"533",0
"534",1
"535",0
"536",0
"537",1
"538",0
"539",1
"540",0
"541",1
"542",0
"543",0
"544",1
"545",1
"546",1
"547",0
"548",1
"549",0
"550",1
"551",0
"552",1
"553",1
"554",1
"555",0
"556",0
"557",1
"558",0
"559",1
"560",1
"561",1
"562",1
"563",1
"564",0
"565",1
"566",1
"567",1
"568",0
"569",1
"570",1
"571",1
"572",1
"573",0
"574",1
"575",0
"576",1
"577",1
"578",0
"579",0
"580",0
"581",1
"582",0
"583",0
"584",1
"585",0
"586",1
"587",1
"588",1
"589",1
"590",0
"591",1
"592",1
"593",0
"594",1
"595",1
"596",1
"597",1
"598",1
"599",1
"600",1
"601",1
"602",1
"603",1
"604",1
"605",0
"606",1
"607",1
"608",1
"609",0
"610",1
"611",1
"612",0
"613",1
"614",1
"615",1
"616",0
"617",1
"618",1
"619",1
"620",1
"621",0
"622",1
"623",1
"624",1
"625",1
"626",1
"627",1
"628",0
"629",0
"630",0
"631",0
"632",0
"633",1
"634",1
"635",1
"636",1
"637",1
"638",0
"639",0
"640",0
"641",1
"642",1
"643",1
"644",0
"645",0
"646",1
"647",0
"648",1
"649",0
"650",1
"651",1
"652",0
"653",1
"654",0
"655",1
"656",1
"657",1
"658",1
"659",1
"660",0
"661",1
"662",1
"663",1
"664",0
"665",1
"666",1
"667",1
"668",1
"669",1
"670",1
"671",1
"672",1
"673",1
"674",1
"675",0
"676",1
"677",1
"678",0
"679",0
"680",1
"681",0
"682",1
"683",1
"684",0
"685",1
"686",1
"687",1
"688",1
"689",1
"690",1
"691",1
"692",1
"693",0
"694",1
"695",1
"696",0
"697",1
"698",0
"699",1
"700",1
"701",1
"702",1
"703",1
"704",1
"705",1
"706",1
"707",1
"708",1
"709",1
"710",1
"711",1
"712",1
"713",1
"714",1
"715",1
"716",1
"717",1
"718",1
"719",1
"720",0
"721",1
"722",0
"723",1
"724",1
"725",0
"726",0
"727",1
"728",1
"729",1
"730",1
"731",1
"732",0
"733",1
"734",0
"735",1
"736",1
"737",1
"738",0
"739",1
"740",1
"741",1
"742",1
"743",0
"744",1
"745",0
"746",1
"747",1
"748",1
"749",1
"750",1
"751",0
"752",1
"753",1
"754",1
"755",1
"756",0
"757",1
"758",1
"759",1
"760",1
"761",0
"762",0
"763",0
"764",1
"765",1
"766",1
"767",1
"768",1
"769",1
"770",0
"771",1
"772",1
"773",1
"774",1
"775",0
"776",1
"777",1
"778",0
"779",1
"780",1
"781",1
"782",0
"783",1
"784",1
"785",1
"786",1
"787",0
"788",0
"789",1
"790",0
"791",0
"792",1
"793",1
"794",1
"795",0
"796",1
"797",1
"798",1
"799",1
"800",1
