checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type,sex,checking_account_exists,savings_account_exists
A14,24,A32,radio/television,3430.0,A63,A75,3.0,A93,none,2.0,A123,31.0,none,own,1.0,skilled_employee,2,1,1,1,1,0,1
A14,9,A34,new car,2134.0,A61,A73,4.0,A93,none,4.0,A123,48.0,none,own,3.0,skilled_employee,1,1,1,1,1,0,1
A11,6,A32,radio/television,2647.0,A63,A73,2.0,A93,none,3.0,A121,44.0,none,rent,1.0,skilled_employee,2,0,1,1,1,1,1
A11,10,A34,new car,2241.0,A61,A72,1.0,A93,none,3.0,A121,48.0,none,rent,2.0,unskilled-resident,2,0,0,1,1,1,1
A12,12,A34,used car,1804.0,A62,A72,3.0,A93,none,4.0,A122,44.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A14,10,A34,furniture/equipment,2069.0,A65,A73,2.0,A94,none,1.0,A123,26.0,none,own,2.0,skilled_employee,1,0,0,1,1,0,0
A11,6,A32,furniture/equipment,1374.0,A61,A73,1.0,A93,none,2.0,A121,36.0,bank,own,1.0,unskilled-resident,1,1,1,1,1,1,1
A14,6,A30,radio/television,426.0,A61,A75,4.0,A94,none,4.0,A123,39.0,none,own,1.0,unskilled-resident,1,0,1,1,1,0,1
A13,12,A31,radio/television,409.0,A64,A73,3.0,A92,none,3.0,A121,42.0,none,rent,2.0,skilled_employee,1,0,1,1,0,1,1
A12,7,A32,radio/television,2415.0,A61,A73,3.0,A93,guarantor,2.0,A121,34.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A11,60,A33,business,6836.0,A61,A75,3.0,A93,none,4.0,A124,63.0,none,own,2.0,skilled_employee,1,1,1,0,1,1,1
A12,18,A32,business,1913.0,A64,A72,3.0,A94,none,3.0,A121,36.0,bank,own,1.0,skilled_employee,1,1,1,1,1,1,1
A11,24,A32,furniture/equipment,4020.0,A61,A73,2.0,A93,none,2.0,A123,27.0,stores,own,1.0,skilled_employee,1,0,1,1,1,1,1
A12,18,A32,new car,5866.0,A62,A73,2.0,A93,none,2.0,A123,30.0,none,own,2.0,skilled_employee,1,1,1,1,1,1,1
A14,12,A34,business,1264.0,A65,A75,4.0,A93,none,4.0,A124,57.0,none,rent,1.0,unskilled-resident,1,0,1,1,1,0,0
A13,12,A32,furniture/equipment,1474.0,A61,A72,4.0,A92,none,1.0,A122,33.0,bank,own,1.0,management/self-employed,1,1,1,1,0,1,1
A12,45,A34,radio/television,4746.0,A61,A72,4.0,A93,none,2.0,A122,25.0,none,own,2.0,unskilled-resident,1,0,1,0,1,1,1
A14,48,A34,education,6110.0,A61,A73,1.0,A93,none,3.0,A124,31.0,bank,free,1.0,skilled_employee,1,1,1,1,1,0,1
A13,18,A32,radio/television,2100.0,A61,A73,4.0,A93,co-applicant,2.0,A121,37.0,stores,own,1.0,skilled_employee,1,0,1,0,1,1,1
A13,10,A32,domestic appliances,1225.0,A61,A73,2.0,A93,none,2.0,A123,37.0,none,own,1.0,skilled_employee,1,1,1,1,1,1,1
A12,9,A32,radio/television,458.0,A61,A73,4.0,A93,none,3.0,A121,24.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A14,30,A32,radio/television,2333.0,A63,A75,4.0,A93,none,2.0,A123,30.0,bank,own,1.0,management/self-employed,1,0,1,1,1,0,1
A12,12,A32,radio/television,1158.0,A63,A73,3.0,A91,none,1.0,A123,26.0,none,own,1.0,skilled_employee,1,1,1,1,1,1,1
A12,18,A33,repairs,6204.0,A61,A73,2.0,A93,none,4.0,A121,44.0,none,own,1.0,unskilled-resident,2,1,1,1,1,1,1
A11,30,A34,used car,6187.0,A62,A74,1.0,A94,none,4.0,A123,24.0,none,rent,2.0,skilled_employee,1,0,1,1,1,1,1
A11,48,A34,used car,6143.0,A61,A75,4.0,A92,none,4.0,A124,58.0,stores,free,2.0,unskilled-resident,1,0,1,0,0,1,1
A14,11,A34,new car,1393.0,A61,A72,4.0,A92,none,4.0,A123,35.0,none,own,2.0,management/self-employed,1,0,1,1,0,0,1
A14,36,A32,radio/television,2299.0,A63,A75,4.0,A93,none,4.0,A123,39.0,none,own,1.0,skilled_employee,1,0,1,1,1,0,1
A11,6,A32,used car,1352.0,A63,A71,1.0,A92,none,2.0,A122,23.0,none,rent,1.0,unemployed/unskilled,1,1,1,1,0,1,1
A14,11,A34,new car,7228.0,A61,A73,1.0,A93,none,4.0,A122,39.0,none,own,2.0,unskilled-resident,1,0,1,1,1,0,1
A14,12,A32,radio/television,2073.0,A62,A73,4.0,A92,co-applicant,2.0,A121,28.0,none,own,1.0,skilled_employee,1,0,1,1,0,0,1
A12,24,A33,furniture/equipment,2333.0,A65,A72,4.0,A93,none,2.0,A122,29.0,bank,own,1.0,unskilled-resident,1,0,1,1,1,1,0
A12,27,A33,used car,5965.0,A61,A75,1.0,A93,none,2.0,A123,30.0,none,own,2.0,management/self-employed,1,1,1,1,1,1,1
A14,12,A32,radio/television,1262.0,A61,A73,3.0,A93,none,2.0,A123,25.0,none,own,1.0,skilled_employee,1,0,1,1,1,0,1
A14,18,A32,used car,3378.0,A65,A73,2.0,A93,none,1.0,A122,31.0,none,own,1.0,skilled_employee,1,1,1,1,1,0,0
A12,36,A33,new car,2225.0,A61,A75,4.0,A93,none,4.0,A124,57.0,bank,free,2.0,skilled_employee,1,1,1,0,1,1,1
A14,6,A31,new car,783.0,A65,A73,1.0,A93,guarantor,2.0,A121,26.0,stores,own,1.0,unskilled-resident,2,0,1,1,1,0,0
A12,12,A32,radio/television,6468.0,A65,A71,2.0,A93,none,1.0,A124,52.0,none,own,1.0,management/self-employed,1,1,1,0,1,1,0
A14,36,A34,radio/television,9566.0,A61,A73,2.0,A92,none,2.0,A123,31.0,stores,own,2.0,skilled_employee,1,0,1,1,0,0,1
A13,18,A32,new car,1961.0,A61,A75,3.0,A92,none,2.0,A123,23.0,none,own,1.0,management/self-employed,1,0,1,1,0,1,1
A11,36,A34,furniture/equipment,6229.0,A61,A72,4.0,A92,co-applicant,4.0,A124,23.0,none,rent,2.0,unskilled-resident,1,1,1,0,0,1,1
A12,9,A32,business,1391.0,A61,A73,2.0,A94,none,1.0,A121,27.0,bank,own,1.0,skilled_employee,1,1,1,1,1,1,1
A12,15,A34,radio/television,1537.0,A65,A75,4.0,A93,guarantor,4.0,A121,50.0,none,own,2.0,skilled_employee,1,1,1,1,1,1,0
A12,36,A30,business,1953.0,A61,A75,4.0,A93,none,4.0,A124,61.0,none,free,1.0,management/self-employed,1,1,1,0,1,1,1
A12,48,A30,business,14421.0,A61,A73,2.0,A93,none,2.0,A123,25.0,none,own,1.0,skilled_employee,1,1,1,0,1,1,1
A14,24,A32,radio/television,3181.0,A61,A72,4.0,A92,none,4.0,A122,26.0,none,own,1.0,skilled_employee,1,1,1,1,0,0,1
A14,27,A32,repairs,5190.0,A65,A75,4.0,A93,none,4.0,A122,48.0,none,own,4.0,skilled_employee,2,1,1,1,1,0,0
A14,12,A32,radio/television,2171.0,A61,A72,2.0,A92,none,2.0,A123,29.0,bank,own,1.0,skilled_employee,1,0,1,1,0,0,1
A12,12,A32,new car,1007.0,A64,A73,4.0,A94,none,1.0,A121,22.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A14,36,A32,education,1819.0,A61,A73,4.0,A93,none,4.0,A124,37.0,stores,free,1.0,skilled_employee,1,1,1,0,1,0,1
A14,36,A32,radio/television,2394.0,A65,A73,4.0,A92,none,4.0,A123,25.0,none,own,1.0,skilled_employee,1,0,1,1,0,0,0
A14,36,A32,used car,8133.0,A61,A73,1.0,A92,none,2.0,A122,30.0,bank,own,1.0,skilled_employee,1,0,1,1,0,0,1
A14,7,A34,radio/television,730.0,A65,A75,4.0,A93,none,2.0,A122,46.0,none,rent,2.0,unskilled-resident,1,1,1,1,1,0,0
A11,8,A34,others,1164.0,A61,A75,3.0,A93,none,4.0,A124,51.0,bank,free,2.0,management/self-employed,2,1,1,1,1,1,1
A12,42,A34,business,5954.0,A61,A74,2.0,A92,none,1.0,A121,41.0,bank,own,2.0,unskilled-resident,1,0,1,1,0,1,1
A11,36,A32,education,1977.0,A65,A75,4.0,A93,none,4.0,A124,40.0,none,own,1.0,management/self-employed,1,1,1,0,1,1,0
A11,12,A34,used car,1526.0,A61,A75,4.0,A93,none,4.0,A124,66.0,none,free,2.0,management/self-employed,1,0,1,1,1,1,1
A11,42,A32,radio/television,3965.0,A61,A72,4.0,A93,none,3.0,A123,34.0,none,own,1.0,skilled_employee,1,0,1,0,1,1,1
A12,11,A33,radio/television,4771.0,A61,A74,2.0,A93,none,4.0,A122,51.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A14,54,A30,used car,9436.0,A65,A73,2.0,A93,none,2.0,A122,39.0,none,own,1.0,unskilled-resident,2,0,1,1,1,0,0
A12,30,A32,furniture/equipment,3832.0,A61,A72,2.0,A94,none,1.0,A122,22.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A14,24,A32,radio/television,5943.0,A65,A72,1.0,A92,none,1.0,A123,44.0,none,own,2.0,skilled_employee,1,1,1,0,0,0,0
A14,15,A32,radio/television,1213.0,A63,A75,4.0,A93,none,3.0,A122,47.0,stores,own,1.0,skilled_employee,1,1,1,1,1,0,1
A14,18,A32,business,1568.0,A62,A73,3.0,A92,none,4.0,A122,24.0,none,rent,1.0,unskilled-resident,1,0,1,1,0,0,1
A11,24,A32,others,1755.0,A61,A75,4.0,A92,guarantor,4.0,A121,58.0,none,own,1.0,unskilled-resident,1,1,1,1,0,1,1
A11,10,A32,radio/television,2315.0,A61,A75,3.0,A93,none,4.0,A121,52.0,none,own,1.0,unskilled-resident,1,0,1,1,1,1,1
A14,12,A34,business,1412.0,A61,A73,4.0,A92,guarantor,2.0,A121,29.0,none,own,2.0,management/self-employed,1,1,1,1,0,0,1
A12,18,A34,furniture/equipment,1295.0,A61,A72,4.0,A92,none,1.0,A122,27.0,none,own,2.0,skilled_employee,1,0,1,1,0,1,1
A12,36,A32,education,12612.0,A62,A73,1.0,A93,none,4.0,A124,47.0,none,free,1.0,skilled_employee,2,1,1,0,1,1,1
A11,18,A32,new car,2249.0,A62,A74,4.0,A93,none,3.0,A123,30.0,none,own,1.0,management/self-employed,2,1,1,1,1,1,1
A11,12,A30,repairs,1108.0,A61,A74,4.0,A93,none,3.0,A121,28.0,none,own,2.0,skilled_employee,1,0,1,0,1,1,1
A14,12,A34,radio/television,618.0,A61,A75,4.0,A93,none,4.0,A121,56.0,none,own,1.0,skilled_employee,1,0,1,1,1,0,1
A11,12,A34,used car,1409.0,A61,A75,4.0,A93,none,3.0,A121,54.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A14,12,A34,radio/television,797.0,A65,A75,4.0,A92,none,3.0,A122,33.0,bank,own,1.0,unskilled-resident,2,0,1,0,0,0,0
A13,24,A34,furniture/equipment,3617.0,A65,A75,4.0,A93,co-applicant,4.0,A124,20.0,none,rent,2.0,skilled_employee,1,0,1,1,1,1,0
A12,12,A32,new car,1318.0,A64,A75,4.0,A93,none,4.0,A121,54.0,none,own,1.0,skilled_employee,1,1,1,1,1,1,1
A12,54,A30,business,15945.0,A61,A72,3.0,A93,none,4.0,A124,58.0,none,rent,1.0,skilled_employee,1,1,1,0,1,1,1
A14,12,A34,education,2012.0,A65,A74,4.0,A92,none,2.0,A123,61.0,none,own,1.0,skilled_employee,1,0,1,1,0,0,0
A12,18,A32,business,2622.0,A62,A73,4.0,A93,none,4.0,A123,34.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A12,36,A34,radio/television,2337.0,A61,A75,4.0,A93,none,4.0,A121,36.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A12,20,A33,used car,7057.0,A65,A74,3.0,A93,none,4.0,A122,36.0,bank,rent,2.0,management/self-employed,2,1,1,1,1,1,0
A14,24,A32,new car,1469.0,A62,A75,4.0,A94,none,4.0,A121,41.0,none,rent,1.0,unskilled-resident,1,0,1,1,1,0,1
A12,36,A32,radio/television,2323.0,A61,A74,4.0,A93,none,4.0,A123,24.0,none,rent,1.0,skilled_employee,1,0,1,1,1,1,1
A14,6,A33,radio/television,932.0,A61,A73,3.0,A92,none,2.0,A121,24.0,none,own,1.0,skilled_employee,1,0,1,1,0,0,1
A12,9,A34,furniture/equipment,1919.0,A61,A74,4.0,A93,none,3.0,A123,35.0,none,rent,1.0,skilled_employee,1,1,1,1,1,1,1
A14,12,A32,used car,2445.0,A65,A72,2.0,A94,none,4.0,A123,26.0,none,rent,1.0,skilled_employee,1,1,1,1,1,0,0
A12,24,A34,others,11938.0,A61,A73,2.0,A93,co-applicant,3.0,A123,39.0,none,own,2.0,management/self-employed,2,1,1,0,1,1,1
A14,18,A31,new car,6458.0,A61,A75,2.0,A93,none,4.0,A124,39.0,bank,own,2.0,management/self-employed,2,1,1,0,1,0,1
A12,12,A32,new car,6078.0,A61,A74,2.0,A93,none,2.0,A123,32.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A11,24,A32,furniture/equipment,7721.0,A65,A72,1.0,A92,none,2.0,A122,30.0,none,own,1.0,skilled_employee,1,1,0,1,0,1,0
A12,14,A32,business,1410.0,A63,A75,1.0,A94,none,2.0,A121,35.0,none,own,1.0,skilled_employee,1,1,1,1,1,1,1
A12,6,A33,business,1449.0,A62,A75,1.0,A91,none,2.0,A123,31.0,bank,own,2.0,skilled_employee,2,0,1,1,1,1,1
A13,15,A32,education,392.0,A61,A72,4.0,A92,none,4.0,A122,23.0,none,rent,1.0,skilled_employee,1,1,1,1,0,1,1
A12,18,A32,new car,6260.0,A61,A74,3.0,A93,none,3.0,A121,28.0,none,rent,1.0,unskilled-resident,1,0,1,1,1,1,1
A14,36,A34,new car,7855.0,A61,A73,4.0,A92,none,2.0,A121,25.0,stores,own,2.0,skilled_employee,1,1,1,0,0,0,1
A11,12,A32,radio/television,1680.0,A63,A75,3.0,A94,none,1.0,A121,35.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A14,48,A34,radio/television,3578.0,A65,A75,4.0,A93,none,1.0,A121,47.0,none,own,1.0,skilled_employee,1,1,1,1,1,0,0
A11,42,A32,radio/television,7174.0,A65,A74,4.0,A92,none,3.0,A123,30.0,none,own,1.0,management/self-employed,1,1,1,0,0,1,0
A11,10,A34,furniture/equipment,2132.0,A65,A72,2.0,A92,co-applicant,3.0,A121,27.0,none,rent,2.0,skilled_employee,1,0,0,1,0,1,0
A11,33,A34,furniture/equipment,4281.0,A63,A73,1.0,A92,none,4.0,A123,23.0,none,own,2.0,skilled_employee,1,0,1,0,0,1,1
A12,12,A34,new car,2366.0,A63,A74,3.0,A91,none,3.0,A123,36.0,none,own,1.0,management/self-employed,1,1,1,1,1,1,1
A11,21,A32,radio/television,1835.0,A61,A73,3.0,A92,none,2.0,A121,25.0,none,own,2.0,skilled_employee,1,1,1,0,0,1,1
A14,24,A34,used car,3868.0,A61,A75,4.0,A92,none,2.0,A123,41.0,none,rent,2.0,management/self-employed,1,1,1,1,0,0,1
A14,12,A32,furniture/equipment,1768.0,A61,A73,3.0,A93,none,2.0,A121,24.0,none,rent,1.0,unskilled-resident,1,0,1,1,1,0,1
A13,10,A34,new car,781.0,A61,A75,4.0,A93,none,4.0,A124,63.0,none,free,2.0,skilled_employee,1,1,1,1,1,1,1
A12,18,A32,furniture/equipment,1924.0,A65,A72,4.0,A92,none,3.0,A121,27.0,none,rent,1.0,skilled_employee,1,0,1,0,0,1,0
A11,12,A34,new car,2121.0,A61,A73,4.0,A93,none,2.0,A122,30.0,none,own,2.0,skilled_employee,1,0,1,1,1,1,1
A11,12,A32,radio/television,701.0,A61,A73,4.0,A94,none,2.0,A121,40.0,none,own,1.0,unskilled-resident,1,0,1,1,1,1,1
A12,12,A32,repairs,639.0,A61,A73,4.0,A93,none,2.0,A123,30.0,none,own,1.0,skilled_employee,1,0,1,0,1,1,1
A12,12,A34,used car,1860.0,A61,A71,4.0,A93,none,2.0,A123,34.0,none,own,2.0,management/self-employed,1,1,1,1,1,1,1
A11,12,A34,new car,3499.0,A61,A73,3.0,A92,co-applicant,2.0,A121,29.0,none,own,2.0,skilled_employee,1,0,1,0,0,1,1
A12,48,A32,new car,8487.0,A65,A74,1.0,A92,none,2.0,A123,24.0,none,own,1.0,skilled_employee,1,0,1,1,0,1,0
A11,36,A33,education,6887.0,A61,A73,4.0,A93,none,3.0,A122,29.0,stores,own,1.0,skilled_employee,1,1,1,0,1,1,1
A14,15,A32,furniture/equipment,2708.0,A61,A72,2.0,A93,none,3.0,A122,27.0,bank,own,2.0,unskilled-resident,1,0,1,1,1,0,1
A14,18,A32,furniture/equipment,1984.0,A61,A73,4.0,A93,none,4.0,A124,47.0,bank,free,2.0,skilled_employee,1,0,1,1,1,0,1
A14,60,A32,radio/television,10144.0,A62,A74,2.0,A92,none,4.0,A121,21.0,none,own,1.0,skilled_employee,1,1,1,1,0,0,1
A14,12,A34,radio/television,1240.0,A65,A75,4.0,A92,none,2.0,A121,38.0,none,own,2.0,skilled_employee,1,1,1,1,0,0,0
A14,27,A33,used car,8613.0,A64,A73,2.0,A93,none,2.0,A123,27.0,none,own,2.0,skilled_employee,1,0,1,1,1,0,1
A12,12,A32,radio/television,766.0,A63,A73,4.0,A93,none,3.0,A121,66.0,none,own,1.0,unskilled-resident,1,0,1,0,1,1,1
A12,15,A34,radio/television,2728.0,A65,A74,4.0,A93,guarantor,2.0,A121,35.0,bank,own,3.0,skilled_employee,1,1,1,1,1,1,0
A13,12,A32,radio/television,1881.0,A61,A73,2.0,A92,none,2.0,A123,44.0,none,rent,1.0,unskilled-resident,1,1,1,1,0,1,1
A13,6,A32,new car,709.0,A64,A72,2.0,A94,none,2.0,A121,27.0,none,own,1.0,unemployed/unskilled,1,0,0,1,1,1,1
A12,36,A32,radio/television,4795.0,A61,A72,4.0,A92,none,1.0,A124,30.0,none,own,1.0,management/self-employed,1,1,1,1,0,1,1
A11,27,A32,radio/television,3416.0,A61,A73,3.0,A93,none,2.0,A123,27.0,none,own,1.0,management/self-employed,1,0,1,1,1,1,1
A11,18,A32,furniture/equipment,2462.0,A61,A73,2.0,A93,none,2.0,A123,22.0,none,own,1.0,skilled_employee,1,0,1,0,1,1,1
A14,21,A34,furniture/equipment,2288.0,A61,A72,4.0,A92,none,4.0,A122,23.0,none,own,1.0,skilled_employee,1,1,1,1,0,0,1
A12,48,A31,business,3566.0,A62,A74,4.0,A93,none,2.0,A123,30.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A11,6,A34,new car,860.0,A61,A75,1.0,A92,none,4.0,A124,39.0,none,own,2.0,skilled_employee,1,1,1,1,0,1,1
A14,12,A34,new car,682.0,A62,A74,4.0,A92,none,3.0,A123,51.0,none,own,2.0,skilled_employee,1,1,1,1,0,0,1
A11,36,A34,furniture/equipment,5371.0,A61,A73,3.0,A93,guarantor,2.0,A122,28.0,none,own,2.0,skilled_employee,1,0,1,1,1,1,1
A14,18,A34,radio/television,1582.0,A64,A75,4.0,A93,none,4.0,A123,46.0,none,own,2.0,skilled_employee,1,0,1,1,1,0,1
A14,6,A32,radio/television,1346.0,A62,A75,2.0,A93,none,4.0,A124,42.0,bank,free,1.0,skilled_employee,2,1,1,1,1,0,1
A14,10,A32,radio/television,1924.0,A61,A73,1.0,A93,none,4.0,A122,38.0,none,own,1.0,skilled_employee,1,1,0,1,1,0,1
A13,36,A32,radio/television,5848.0,A61,A73,4.0,A93,none,1.0,A123,24.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A12,24,A34,used car,7758.0,A64,A75,2.0,A92,none,4.0,A124,29.0,none,rent,1.0,skilled_employee,1,0,1,1,0,1,1
A12,24,A33,business,6967.0,A62,A74,4.0,A93,none,4.0,A123,36.0,none,rent,1.0,management/self-employed,1,1,1,1,1,1,1
A11,12,A32,furniture/equipment,1282.0,A61,A73,2.0,A92,none,4.0,A123,20.0,none,rent,1.0,skilled_employee,1,0,1,0,0,1,1
A11,9,A34,repairs,1288.0,A62,A75,3.0,A93,guarantor,4.0,A121,48.0,none,own,2.0,skilled_employee,2,0,0,1,1,1,1
A11,12,A31,retraining,339.0,A61,A75,4.0,A94,none,1.0,A123,45.0,bank,own,1.0,unskilled-resident,1,0,1,1,1,1,1
A12,24,A32,new car,3512.0,A62,A74,2.0,A93,none,3.0,A123,38.0,bank,own,2.0,skilled_employee,1,1,1,1,1,1,1
A14,6,A34,radio/television,1898.0,A65,A73,1.0,A93,none,2.0,A121,34.0,none,own,2.0,unskilled-resident,2,0,1,1,1,0,0
A14,24,A34,radio/television,2872.0,A62,A75,3.0,A93,none,4.0,A121,36.0,none,own,1.0,skilled_employee,2,1,1,1,1,0,1
A14,18,A34,new car,1055.0,A61,A72,4.0,A92,none,1.0,A122,30.0,none,own,2.0,skilled_employee,1,0,1,1,0,0,1
A14,15,A32,domestic appliances,1262.0,A63,A74,4.0,A93,none,3.0,A122,36.0,none,own,2.0,skilled_employee,1,1,1,1,1,0,1
A12,10,A32,new car,7308.0,A61,A71,2.0,A93,none,4.0,A124,70.0,bank,free,1.0,management/self-employed,1,1,1,1,1,1,1
A14,36,A32,new car,909.0,A63,A75,4.0,A93,none,4.0,A122,36.0,none,own,1.0,skilled_employee,1,0,1,1,1,0,1
A14,6,A32,furniture/equipment,2978.0,A63,A73,1.0,A93,none,2.0,A123,32.0,none,own,1.0,skilled_employee,1,1,1,1,1,0,1
A11,18,A32,furniture/equipment,1131.0,A61,A71,4.0,A92,none,2.0,A123,33.0,none,own,1.0,skilled_employee,1,0,1,0,0,1,1
A12,11,A32,furniture/equipment,1577.0,A64,A72,4.0,A92,none,1.0,A121,20.0,none,own,1.0,skilled_employee,1,0,1,1,0,1,1
A14,24,A32,furniture/equipment,3972.0,A61,A74,2.0,A92,none,4.0,A122,25.0,none,rent,1.0,skilled_employee,1,1,1,1,0,0,1
A12,24,A34,business,1935.0,A61,A75,4.0,A91,none,4.0,A121,31.0,none,own,2.0,skilled_employee,1,1,1,0,1,1,1
A11,15,A30,new car,950.0,A61,A75,4.0,A93,none,3.0,A123,33.0,none,rent,2.0,skilled_employee,2,0,1,0,1,1,1
A14,12,A32,furniture/equipment,763.0,A61,A73,4.0,A92,none,1.0,A121,26.0,none,own,1.0,skilled_employee,1,1,1,1,0,0,1
A12,24,A33,furniture/equipment,2064.0,A61,A71,3.0,A92,none,2.0,A122,34.0,none,own,1.0,management/self-employed,1,1,1,0,0,1,1
A12,8,A32,radio/television,1414.0,A61,A73,4.0,A93,guarantor,2.0,A121,33.0,none,own,1.0,skilled_employee,1,0,0,1,1,1,1
A11,21,A33,education,3414.0,A61,A72,2.0,A93,none,1.0,A122,26.0,none,own,2.0,skilled_employee,1,0,1,0,1,1,1
A14,30,A31,used car,7485.0,A65,A71,4.0,A92,none,1.0,A121,53.0,bank,own,1.0,management/self-employed,1,1,1,0,0,0,0
A11,12,A32,furniture/equipment,2577.0,A61,A73,2.0,A91,none,1.0,A123,42.0,none,own,1.0,skilled_employee,1,0,1,1,1,1,1
A11,6,A34,radio/television,338.0,A63,A75,4.0,A93,none,4.0,A123,52.0,none,own,2.0,skilled_employee,1,0,1,1,1,1,1
A14,12,A32,radio/television,1963.0,A61,A74,4.0,A93,none,2.0,A123,31.0,none,rent,2.0,management/self-employed,2,1,1,1,1,0,1
A11,21,A34,new car,571.0,A61,A75,4.0,A93,none,4.0,A121,65.0,none,own,2.0,skilled_employee,1,0,1,1,1,1,1
A14,36,A33,business,9572.0,A61,A72,1.0,A91,none,1.0,A123,28.0,none,own,2.0,skilled_employee,1,0,1,0,1,0,1
A12,36,A33,business,4455.0,A61,A73,2.0,A91,none,2.0,A121,30.0,stores,own,2.0,management/self-employed,1,1,1,0,1,1,1
A11,21,A31,new car,1647.0,A65,A73,4.0,A93,none,2.0,A122,40.0,none,own,2.0,unskilled-resident,2,0,1,0,1,1,0
A14,24,A34,furniture/equipment,3777.0,A64,A73,4.0,A93,none,4.0,A121,50.0,none,own,1.0,skilled_employee,1,1,1,1,1,0,1
A12,18,A34,new car,884.0,A61,A75,4.0,A93,none,4.0,A123,36.0,bank,own,1.0,skilled_employee,2,1,1,0,1,1,1
A14,15,A34,radio/television,1360.0,A61,A73,4.0,A93,none,2.0,A122,31.0,none,own,2.0,skilled_employee,1,0,1,1,1,0,1
A12,9,A31,used car,5129.0,A61,A75,2.0,A92,none,4.0,A124,74.0,bank,free,1.0,management/self-employed,2,1,1,0,0,1,1
A12,16,A34,new car,1175.0,A61,A71,2.0,A93,none,3.0,A123,68.0,none,free,3.0,unemployed/unskilled,1,1,1,1,1,1,1
